Intervention,Start.date,End.date,Value1,Value2
Self Isolation,2020-03-19,2021-12-31,0.70,0.80
Social Distancing,2020-03-17,2020-05-10,0.65,0.95
Handwashing,2020-03-19,2020-05-10,1.00,0.14
School Closing,2020-03-19,2021-09-07,1.00,0.95
Work From Home,2020-03-19,2020-05-10,0.60,0.95
Vaccination,2021-01-01,2021-12-31,0.00,0.00
Travel Ban,2020-02-19,2020-03-18,0.20,0.00
Travel Ban,2020-03-19,2021-12-31,0.20,0.70
Cocoon Elderly,2020-03-17,2021-12-31,0.30,0.95
Cocoon Age,2020-03-14,2021-12-31,60,0.00
Screening,2022-01-01,2022-12-31,0.00,0.00
Quarantine,2020-01-01,2022-12-31,0.00,0.00
Quarantine Days,2020-01-01,2022-12-31,10,0.00
Window Time,2020-01-01,2022-12-31,2,0.00
Fase laranja em maio,NA,NA,NA,NA
Social Distancing,2020-05-11,2020-06-22,0.60,0.95
Handwashing,2020-05-11,2020-06-22,0.9,0.32
Work From Home,2020-05-11,2020-06-22,0.45,0.95
Fase vermelha em junho,NA,NA,NA,NA
Social Distancing,2020-06-23,2020-09-28,0.55,0.95
Handwashing,2020-06-23,2020-09-28,0.9,0.48
Work From Home,2020-06-23,2020-09-28,0.55,0.95
""School reopening"",NA,NA,NA,NA
School Closing,2020-09-08,2020-12-17,1.00,0.8
School Closing,2020-12-18,2021-01-31,1.00,0.95
School Closing,2021-02-01,2021-12-31,1.00,0.5
Fase laranja em setembro,NA,NA,NA,NA
Social Distancing,2020-09-29,2020-11-30,0.50,0.95
Handwashing,2020-09-29,2020-11-30,0.9,0.42
Work From Home,2020-09-29,2020-11-30,0.40,0.95
Fase vermelha em dezembro,NA,NA,NA,NA
Social Distancing,2020-12-01,2021-12-31,0.50,0.95
Handwashing,2020-12-01,2021-12-31,0.9,0.42
Work From Home,2020-12-01,2021-12-31,0.50,0.95
